Missing data from input file Neestimator_060921.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     288           14             0000           129
     289           28             0000            38
     290          160             0000            34
     291           28             0000            23
     292           28             0000            68
     293           14             0000            44
     294           14             0000            61
     295            1             0000          3091
     296          162             0000            35
     297          219             0000            21
     298            1             0000          3088
     299           14             0000            22
     300           28             0000            50
     301           13             0000            53
     302           14             0000            53
     303           14             0000           123
     304           14             0000           156
     305           14             0000            43
     306          155             0000            26
     307          219             0000            41
     308           14             0000            82
     309           28             0000            34
     310           14             0000            58
     311           28             0000            33
     312           14             0000           100
     313           14             0000            55
     314           28             0000            28
     315           28             0000            43
     316           28             0000            39
     317            5             0000            42
     318           28             0000            56
     319            2             0000           763
     320           14             0000           252
     321           28             0000            59
     322           28             0000            44
     323           14             0000            54
     324           28             0000            34
     325           14             0000            40
     326           28             0000            73
     327           45             0000            25
     328           14             0000           233
     329          219             0000            24
     330           28             0000            33
     331            6             0000            42
     332           28             0000            50
     333           14             0000            44
     334           14             0000            48
     335           14             0000            76
     336           28             0000            63
     337           14             0000            42
     338           28             0000            33
     339           28             0000            50
     340            1             0000          3091
     341           28             0000            49
     342           10             0000           980
     343           28             0000           119
     344           14             0000            58
     345           14             0000            34
     346           14             0000           130
     347           28             0000            26
     348           28             0000            48
     349           14             0000            55
     350           28             0000            37
     351           14             0000           439
     352           28             0000            28
     353           28             0000            35
     354           14             0000            83
     355           28             0000            66
     356           14             0000            88
     357           14             0000            75
     358            9             0000            48
     359           14             0000            59
     360           28             0000            48
     361           28             0000            30
     362           14             0000            51
     363           28             0000            34
     364           28             0000            55
     365           14             0000            49
     366           45             0000            37
     367           14             0000            53
     368           14             0000            63
     369            9             0000            37
     370           28             0000            40
     371           14             0000            49
     372           28             0000            40
     373           28             0000            71
     374            2             0000          1086
     375           28             0000            71
     376           14             0000            59
     377           14             0000            28
     378           14             0000            57
     379           14             0000            41
     380           28             0000            56
     381           81             0000            53
     382           28             0000            35
     383            2             0000           700
     384           14             0000           157
     385            9             0000           225
     386            3             0000           205
     387           28             0000            35
     388           28             0000            49
     389           28             0000            37
     390          219             0000            20
     391            1             0000          3091
     392            1             0000          3090
     393           12             0000           237
     394            3             0000           247
     395           14             0000            35
     396           28             0000            35
-----------------------------------------------------------
Total missing data for population    1:        54999

