Missing data from input file BMR_Neestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BMR_017]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     286            3             0000            98
     287         1918             0000             6
     288         1736             0000             2
     289          379             0000            11
     290          756             0000             6
     291         1390             0000             6
     292         1378             0000             8
     293          217             0000            10
     294            3             0000           396
     295           79             0000            14
     296           79             0000            11
     297           79             0000            12
     298          565             0000             7
     299          756             0000            11
     300            3             0000            10
     301            3             0000            29
     302            3             0000            18
     303            3             0000             9
     304           79             0000             5
     305          217             0000             4
     306         1390             0000             7
     307          117             0000             9
     308            3             0000            22
     309            3             0000            70
     310          117             0000             8
     311         1037             0000             2
     312          283             0000             6
     313          303             0000             9
     314          210             0000             8
     315           79             0000            11
     316         1996             0000             2
     317            3             0000            45
     318         1996             0000             6
     319          217             0000            11
     320          449             0000             8
     321          687             0000             3
     322          756             0000            10
     323           79             0000            13
     324          217             0000             8
     325         1497             0000             7
     326          218             0000             7
     327           38             0000             9
     328          218             0000            10
     329         1037             0000             6
     330          702             0000            10
     331            3             0000             9
     332            3             0000             7
     333            3             0000            14
     334           92             0000            29
     335          978             0000             8
     336         1430             0000             4
     337           38             0000             5
     338          217             0000             7
     339         1037             0000             7
     340            3             0000           262
     341           79             0000             7
     342           38             0000            29
     343         1996             0000             3
     344         1390             0000             4
     345          148             0000            10
     346          592             0000             9
     347           38             0000             3
     348          218             0000            10
     349            3             0000           306
     350            3             0000            90
     351            3             0000            33
     352            3             0000            40
     353           51             0000            16
     354           12             0000            24
     355            3             0000            37
     356          148             0000            13
     357            3             0000            22
     358          218             0000            12
     359         1861             0000             9
     360            3             0000            25
     361           79             0000            13
     362          923             0000            11
     363          218             0000            12
     364           38             0000            19
     365            3             0000           242
     366            2             0000          1208
     367            3             0000            56
     368            3             0000            32
     369           14             0000            10
     370            3             0000            39
     371          702             0000            11
     372          218             0000            11
     373          148             0000            14
     374            3             0000            34
     375            3             0000            30
     376            3             0000            14
     377            3             0000            99
     378            3             0000            76
     379            3             0000            62
     380          148             0000            12
     381            1             0000          2387
     382            3             0000           648
     383            3             0000            45
     384            3             0000            17
     385           38             0000            15
     386            3             0000           107
     387            3             0000            30
     388            3             0000            56
     389            3             0000            26
     390            2             0000          1016
     391            3             0000           109
     392          217             0000            15
     393          500             0000             7
     394           46             0000            59
     395            3             0000            32
     396            3             0000            87
     397            2             0000           653
     398            3             0000           133
     399            3             0000            34
     400            3             0000            52
     401            3             0000            40
     402          217             0000            13
     403          117             0000            13
     404            3             0000           106
     405            2             0000          1425
     406          218             0000            10
     407            3             0000            17
     408            3             0000            32
     409          176             0000            17
     410          176             0000            14
     411            3             0000            13
     412          117             0000            15
     413            2             0000          1168
     414           79             0000            14
     415         1129             0000            10
     416           79             0000            39
     417          245             0000             8
     418            3             0000            30
     419          218             0000             7
     420           46             0000            46
     421           12             0000             8
     422          218             0000            20
     423           52             0000            17
     424            3             0000            34
     425          218             0000            13
     426            3             0000            28
     427          218             0000             3
     428            3             0000           212
     429            3             0000           226
     430            2             0000           430
     431          925             0000            11
     432          687             0000             8
     433            3             0000            41
     434          437             0000            12
     435          210             0000            22
     436            2             0000          1223
     437          148             0000            15
     438           46             0000            51
     439           12             0000            10
     440           14             0000             8
     441           38             0000             9
     442          117             0000             7
     443          976             0000             7
     444            3             0000            19
     445            2             0000          1174
     446          217             0000            32
     447          218             0000            17
     448          218             0000             6
     449           79             0000             9
     450          401             0000            14
     451            3             0000            44
     452          218             0000            12
     453          176             0000            25
     454            3             0000            41
     455          756             0000             9
     456            3             0000            23
     457           79             0000            15
     458          218             0000            11
     459          210             0000            14
     460          756             0000             8
     461            3             0000           408
     462            3             0000            98
     463          218             0000             8
     464          210             0000            15
     465          117             0000            10
     466          497             0000            10
     467          218             0000            15
     468         1901             0000             7
     469            3             0000             8
     470            3             0000            56
     471          218             0000            16
     472            3             0000            12
     473          218             0000            13
