Missing data from input file OCQNeestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     286          218             0000            11
     287            2             0000           571
     288            3             0000            58
     289          218             0000            11
     290          218             0000            13
     291          756             0000             7
     292           79             0000            21
     293            3             0000            15
     294            3             0000            17
     295            1             0000          3087
     296          218             0000             9
     297          649             0000             8
     298            1             0000          3082
     299            3             0000             8
     300          218             0000            16
     301            3             0000            21
     302            3             0000            18
     303            3             0000            46
     304            3             0000            72
     305            3             0000            15
     306          218             0000             8
     307          559             0000            13
     308            3             0000            30
     309           79             0000            12
     310            3             0000            17
     311          756             0000             8
     312            3             0000            46
     313            3             0000            15
     314          943             0000             7
     315           79             0000            14
     316           79             0000            11
     317           79             0000            10
     318          218             0000            14
     319            2             0000           540
     320            3             0000           123
     321          218             0000            20
     322           79             0000            19
     323            3             0000            16
     324           79             0000             9
     325            3             0000            12
     326           79             0000            24
     327           79             0000             9
     328            3             0000           116
     329         1794             0000             6
     330           79             0000            10
     331            3             0000            12
     332          756             0000            17
     333            3             0000            16
     334            3             0000            17
     335            3             0000            26
     336          218             0000            23
     337            3             0000             9
     338           79             0000            10
     339          218             0000            15
     340            1             0000          3087
     341          218             0000            17
     342            3             0000           526
     343           46             0000            45
     344            3             0000            26
     345            3             0000            10
     346            3             0000            55
     347          218             0000             4
     348          218             0000            19
     349            3             0000            21
     350          218             0000             9
     351            3             0000           224
     352          332             0000             9
     353          218             0000            11
     354            3             0000            37
     355           79             0000            26
     356            3             0000            32
     357            3             0000            26
     358           38             0000            13
     359            3             0000            21
     360          218             0000            18
     361          218             0000            10
     362            3             0000            15
     363          218             0000            11
     364           46             0000            19
     365            3             0000            17
     366          218             0000            12
     367            3             0000            17
     368            3             0000            19
     369           79             0000            11
     370          218             0000            12
     371            3             0000            14
     372          218             0000            13
     373          210             0000            19
     374            2             0000           827
     375           79             0000            22
     376            3             0000            20
     377            3             0000             4
     378            3             0000            22
     379            3             0000            13
     380           79             0000            16
     381           79             0000            17
     382          218             0000             8
     383            2             0000           458
     384            3             0000            70
     385           12             0000            42
     386           12             0000            37
     387         1390             0000             7
     388          218             0000            14
     389          218             0000            12
     390          218             0000             5
     391            1             0000          3087
     392            1             0000          3086
     393           51             0000            54
     394           79             0000            53
     395            3             0000            11
     396           51             0000            11
-----------------------------------------------------------
Total missing data for population    1:        38388

