ClusterIndex	Probability	OffspringID	FatherID	MotherID
2	1	0.2621	PM_BMR_001	*1	#1
3	1	0.2621	PM_BMR_017	*3	#3
4	1	0.2621	PM_BMR_019	*5	#5
5	1	0.2621	PM_BMR_020	*6	#6
6	1	0.2621	PM_BMR_021	*7	#7
7	1	0.2621	PM_BMR_025	*6	#9
8	1	0.2621	PM_BMR_026	*8	#10
9	1	0.2621	PM_BMR_027	*9	#6
10	1	0.2621	PM_BMR_029	*8	#11
11	1	0.2621	PM_BMR_030	*10	#11
12	1	0.2621	PM_BMR_033	*10	#11
13	1	0.2621	PM_BMR_034	*1	#12
14	1	0.2621	PM_BMR_036	*11	#13
15	1	0.2621	PM_BMR_037	*9	#11
16	1	0.2621	PM_BMR_038	*11	#13
17	1	0.2621	PM_BMR_039	*7	#7
18	1	0.2621	PM_BMR_040	*8	#11
19	1	0.2621	PM_BMR_041	*5	#5
20	1	0.2621	PM_BMR_042	*1	#12
21	1	0.2621	PM_BMR_043	*1	#14
22	1	0.2621	PM_BMR_044	*7	#7
23	1	0.2621	PM_BMR_045	*3	#5
24	1	0.2621	PM_BMR_047	*6	#16
25	1	0.2621	PM_BMR_049	*7	#18
26	1	0.2621	PM_BMR_051	*9	#6
27	1	0.2621	PM_BMR_053	*1	#12
28	1	0.2621	PM_BMR_054	*7	#18
29	1	0.2621	PM_BMR_055	*13	#19
30	1	0.2621	PM_BMR_056	*7	#7
31	1	0.2621	PM_BMR_057	*11	#13
32	1	0.2621	PM_BMR_058	*7	#18
33	1	0.2621	PM_BMR_059	*9	#6
34	1	0.2621	PM_BMR_060	*14	#20
35	1	0.2621	PM_BMR_061	*5	#5
36	1	0.2621	PM_BMR_062	*5	#5
37	1	0.2621	PM_BMR_063	*10	#11
38	1	0.2621	PM_BMR_065	*11	#13
39	1	0.2621	PM_BMR_066	*15	#21
40	1	0.2621	PM_BMR_068	*16	#19
41	1	0.2621	PM_BMR_069	*1	#22
42	1	0.2621	PM_BMR_070	*3	#5
43	1	0.2621	PM_BMR_071	*1	#12
44	1	0.2621	PM_BMR_072	*5	#5
45	1	0.2621	PM_BMR_073	*1	#14
46	1	0.2621	PM_BMR_074	*10	#11
47	1	0.2621	PM_BMR_075	*10	#11
48	1	0.2621	PM_BMR_076	*1	#12
49	1	0.2621	PM_BMR_077	*1	#12
50	1	0.2621	PM_BMR_078	*7	#7
51	1	0.2621	PM_BMR_079	*1	#12
52	1	0.2621	PM_BMR_080	*17	#11
53	1	0.2621	PM_BMR_081	*1	#22
54	1	0.2621	PM_BMR_082	*1	#12
55	1	0.2621	PM_BMR_083	*11	#13
56	1	0.2621	PM_BMR_084	*18	#5
57	1	0.2621	PM_BMR_085	*5	#5
58	1	0.2621	PM_BMR_086	*3	#5
59	1	0.2621	PM_BMR_089	*1	#12
60	1	0.2621	PM_BMR_090	*5	#5
61	1	0.2621	PM_BMR_093	*1	#14
62	1	0.2621	PM_BMR_094	*1	#12
63	1	0.2621	PM_BMR_095	*5	#5
64	1	0.2621	PM_BMR_096	*11	#13
65	1	0.2621	PM_BMR_097	*1	#12
66	1	0.2621	PM_BMR_099	*5	#5
67	1	0.2621	PM_BMR_1001	*13	#19
68	1	0.2621	PM_BMR_1005	*8	#11
69	1	0.2621	PM_BMR_1007	*1	#14
70	1	0.2621	PM_BMR_1009	*17	#11
71	1	0.2621	PM_BMR_101	*1	#12
72	1	0.2621	PM_BMR_1011	*5	#5
73	1	0.2621	PM_BMR_1012	*5	#5
74	1	0.2621	PM_BMR_1014	*8	#11
75	1	0.2621	PM_BMR_1015	*5	#5
76	1	0.2621	PM_BMR_1016	*14	#20
77	1	0.2621	PM_BMR_1017	*8	#11
78	1	0.2621	PM_BMR_1018	*1	#12
79	1	0.2621	PM_BMR_102	*8	#11
80	1	0.2621	PM_BMR_1021	*5	#5
81	1	0.2621	PM_BMR_1022	*7	#18
82	1	0.2621	PM_BMR_1023	*5	#5
83	1	0.2621	PM_BMR_1025	*5	#5
84	1	0.2621	PM_BMR_1027	*1	#12
85	1	0.2621	PM_BMR_1028	*9	#6
86	1	0.2621	PM_BMR_1029	*6	#6
87	1	0.2621	PM_BMR_103	*11	#13
88	1	0.2621	PM_BMR_1031	*8	#11
89	1	0.2621	PM_BMR_1032	*5	#5
90	1	0.2621	PM_BMR_1033	*1	#12
91	1	0.2621	PM_BMR_1035	*14	#20
92	1	0.2621	PM_BMR_1036	*8	#11
93	1	0.2621	PM_BMR_1037	*7	#18
94	1	0.2621	PM_BMR_1039	*1	#12
95	1	0.2621	PM_BMR_104	*1	#12
96	1	0.2621	PM_BMR_1040	*7	#18
97	1	0.2621	PM_BMR_1042	*5	#5
98	1	0.2621	PM_BMR_1043	*8	#11
99	1	0.2621	PM_BMR_1045	*1	#12
100	1	0.2621	PM_BMR_1047	*17	#11
101	1	0.2621	PM_BMR_1048	*6	#11
102	1	0.2621	PM_BMR_1049	*17	#24
103	1	0.2621	PM_BMR_105	*7	#18
104	1	0.2621	PM_BMR_1051	*1	#14
105	1	0.2621	PM_BMR_1053	*1	#12
106	1	0.2621	PM_BMR_1054	*1	#12
107	1	0.2621	PM_BMR_106	*6	#6
108	1	0.2621	PM_BMR_109	*8	#11
109	1	0.2621	PM_BMR_110	*7	#18
110	1	0.2621	PM_BMR_111	*10	#11
111	1	0.2621	PM_BMR_113	*3	#5
112	1	0.2621	PM_BMR_115	*1	#12
113	1	0.2621	PM_BMR_116	*5	#5
114	1	0.2621	PM_BMR_117	*1	#12
115	1	0.2621	PM_BMR_118	*5	#5
116	1	0.2621	PM_BMR_119	*17	#11
117	1	0.2621	PM_BMR_121	*7	#18
118	1	0.2621	PM_BMR_122	*1	#12
119	1	0.2621	PM_BMR_124	*9	#25
120	1	0.2621	PM_BMR_126	*5	#5
121	1	0.2621	PM_BMR_131	*20	#27
122	1	0.2621	PM_BMR_132	*21	#28
123	1	0.2621	PM_BMR_133	*13	#19
124	1	0.2621	PM_BMR_134	*22	#28
125	1	0.2621	PM_BMR_135	*23	#27
126	1	0.2621	PM_BMR_136	*24	#13
127	1	0.2621	PM_BMR_137	*25	#19
128	1	0.2621	PM_BMR_138	*26	#7
129	1	0.2621	PM_BMR_139	*27	#19
130	1	0.2621	PM_BMR_140	*21	#28
131	1	0.2621	PM_BMR_141	*11	#13
