OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_125	7	11	6
PM_BMR_126	4	4	4
PM_BMR_127	16	17	8
PM_BMR_128	7	16	6
PM_BMR_129	16	17	8
PM_BMR_130	29	31	13
PM_BMR_131	30	32	4
PM_BMR_132	31	33	5
PM_BMR_133	17	19	5
PM_BMR_134	31	34	5
PM_BMR_135	32	32	4
PM_BMR_136	33	15	4
PM_BMR_137	17	35	5
PM_BMR_138	34	6	4
PM_BMR_139	17	36	5
PM_BMR_140	31	33	5
PM_BMR_141	12	15	4
PM_BMR_142	10	23	5
PM_BMR_143	35	37	4
PM_BMR_144	36	38	14
PM_BMR_145	37	39	4
PM_BMR_146	33	6	4
PM_BMR_147	37	40	4
PM_BMR_148	36	38	14
PM_BMR_149	31	33	5
PM_BMR_150	16	17	8
PM_BMR_151	17	35	5
PM_BMR_152	16	17	8
PM_BMR_153	35	37	4
PM_BMR_154	35	41	4
PM_BMR_155	4	4	4
PM_BMR_156	17	33	5
PM_BMR_157	33	6	4
PM_BMR_158	16	17	8
PM_BMR_159	36	42	14
PM_BMR_160	35	37	4
PM_BMR_161	31	34	5
PM_BMR_162	37	37	4
PM_BMR_163	34	6	4
PM_BMR_164	32	32	4
PM_BMR_165	17	35	5
PM_BMR_166	30	32	4
PM_BMR_167	38	43	4
PM_BMR_168	30	44	4
PM_BMR_169	31	33	5
PM_BMR_170	11	14	5
PM_BMR_171	38	45	4
PM_BMR_172	39	46	4
PM_BMR_173	12	15	4
PM_BMR_174	33	15	4
PM_BMR_175	31	33	5
PM_BMR_176	37	37	4
PM_BMR_177	30	32	4
PM_BMR_178	38	45	4
PM_BMR_179	4	4	4
PM_BMR_180	40	47	15
PM_BMR_181	41	48	15
PM_BMR_182	12	15	4
PM_BMR_183	33	15	4
PM_BMR_184	6	18	4
PM_BMR_185	14	15	4
PM_BMR_186	16	17	8
PM_BMR_187	17	36	5
PM_BMR_188	4	4	4
PM_BMR_189	12	15	4
PM_BMR_190	29	31	13
PM_BMR_191	35	37	4
PM_BMR_192	39	46	4
PM_BMR_193	17	36	5
PM_BMR_195	17	36	5
PM_BMR_196	39	46	4
PM_BMR_197	17	19	5
PM_BMR_198	38	39	4
PM_BMR_199	16	17	8
PM_BMR_200	32	32	4
PM_BMR_201	37	39	4
PM_BMR_202	19	15	4
PM_BMR_203	30	32	4
PM_BMR_204	37	39	4
PM_BMR_205	42	34	5
PM_BMR_206	4	4	4
PM_BMR_207	38	39	4
PM_BMR_208	29	49	13
PM_BMR_209	17	19	5
PM_BMR_210	39	37	4
PM_BMR_211	43	47	15
PM_BMR_212	33	6	4
PM_BMR_213	6	18	4
PM_BMR_214	37	37	4
PM_BMR_215	37	39	4
PM_BMR_216	17	36	5
PM_BMR_217	39	46	4
PM_BMR_218	44	50	16
PM_BMR_219	12	15	4
PM_BMR_220	38	39	4
PM_BMR_221	44	51	16
PM_BMR_222	10	12	5
PM_BMR_223	7	11	6
PM_BMR_224	31	34	5
PM_BMR_225	31	34	5
PM_BMR_226	44	50	16
PM_BMR_227	16	17	8
PM_BMR_228	38	43	4
PM_BMR_229	17	35	5
PM_BMR_230	34	44	4
PM_BMR_231	12	15	4
PM_BMR_232	32	32	4
PM_BMR_233	33	15	4
PM_BMR_234	30	44	4
PM_BMR_235	4	4	4
PM_BMR_236	37	37	4
PM_BMR_237	12	15	4
PM_BMR_238	33	15	4
PM_BMR_239	39	46	4
PM_BMR_240	36	38	14
PM_BMR_241	36	38	14
PM_BMR_242	31	34	5
PM_BMR_243	16	17	8
PM_BMR_244	7	11	6
PM_BMR_245	10	12	5
PM_BMR_246	31	34	5
PM_BMR_247	31	34	5
PM_BMR_248	35	37	4
PM_BMR_249	31	33	5
PM_BMR_250	11	14	5
PM_BMR_251	32	32	4
PM_BMR_252	38	45	4
PM_BMR_253	35	37	4
PM_BMR_254	33	15	4
PM_BMR_255	16	17	8
PM_BMR_256	17	35	5
PM_BMR_257	35	37	4
PM_BMR_258	5	5	5
PM_BMR_259	42	34	5
PM_BMR_260	42	34	5
PM_BMR_261	37	39	4
PM_BMR_262	36	42	14
PM_BMR_263	16	17	8
PM_BMR_264	17	36	5
PM_BMR_265	45	16	6
PM_BMR_266	12	15	4
PM_BMR_267	31	34	5
PM_BMR_268	33	6	4
PM_BMR_269	35	41	4
PM_BMR_270	29	31	13
PM_BMR_271	36	42	14
PM_BMR_272	16	17	8
PM_BMR_273	17	33	5
PM_BMR_274	31	33	5
PM_BMR_275	17	36	5
PM_BMR_276	31	34	5
PM_BMR_277	7	7	6
PM_BMR_278	15	5	5
PM_BMR_279	29	31	13
PM_BMR_280	17	19	5
PM_BMR_281	4	4	4
PM_BMR_282	30	32	4
PM_BMR_283	38	43	4
PM_BMR_284	4	4	4
PM_BMR_285	41	47	15
PM_BMR_286	35	37	4
PM_BMR_287	12	15	4
PM_BMR_288	17	35	5
PM_BMR_289	16	17	8
PM_BMR_290	11	14	5
PM_BMR_291	35	37	4
PM_BMR_292	12	15	4
PM_BMR_293	41	47	15
PM_BMR_294	16	17	8
PM_BMR_295	41	47	15
