ID	Year_collect	Length	Weight	cohort	Father	Mother	Cluster
PM_BMR_1021	2018	98	1.34	2015	4	4	4
PM_BMR_1022	2018	88	0.908	2016	6	18	4
PM_BMR_1023	2018	85	0.796	2016	4	4	4
PM_BMR_1024	2018	95	1.063	2015	7	11	6
PM_BMR_1025	2018	84	0.83	2016	4	4	4
PM_BMR_1026	2018	85	0.822	2016	7	11	6
PM_BMR_1027	2018	94	1.124	2015	11	14	5
PM_BMR_1028	2018	96	1.249	2015	5	10	5
PM_BMR_1029	2018	81	0.681	2016	5	5	5
PM_BMR_103	2017	76	0.403	2015	12	15	4
PM_BMR_1030	2018	94	1.132	2015	16	17	8
PM_BMR_1031	2018	95	1.085	2015	10	12	5
PM_BMR_1032	2018	86	0.821	2016	4	4	4
PM_BMR_1033	2018	99	1.082	2015	11	14	5
PM_BMR_1034	2018	96	1.044	2015	7	11	6
PM_BMR_1035	2018	98	1.144	2015	18	20	5
PM_BMR_1036	2018	83	0.664	2016	10	12	5
PM_BMR_1037	2018	96	1.133	2015	6	18	4
PM_BMR_1038	2018	97	1.207	2015	7	16	6
PM_BMR_1039	2018	84	0.772	2016	11	14	5
PM_BMR_104	2017	62	0.152	2016	11	14	5
PM_BMR_1040	2018	89	0.945	2015	6	18	4
PM_BMR_1041	2018	93	1.098	2015	16	17	8
PM_BMR_1042	2018	77	1.054	2016	4	4	4
PM_BMR_1043	2018	92	0.854	2015	10	12	5
PM_BMR_1044	2018	89	0.935	2015	7	11	6
PM_BMR_1045	2018	86	0.821	2016	11	14	5
PM_BMR_1046	2018	78	0.722	2016	7	11	6
PM_BMR_1047	2018	85	0.792	2016	10	23	5
PM_BMR_1048	2018	95	1.01	2015	10	5	5
PM_BMR_1049	2018	90	1.125	2015	20	23	5
PM_BMR_105	2017	65	0.247	2016	6	18	4
PM_BMR_1050	2018	87	0.871	2016	7	11	6
PM_BMR_1051	2018	89	0.748	2015	13	14	5
PM_BMR_1053	2018	85	0.732	2016	11	14	5
PM_BMR_1054	2018	80	0.522	2016	11	14	5
PM_BMR_1055	2019	160	6.604	2016	21	25	9
PM_BMR_1056	2019	149	5.521	2016	21	25	9
PM_BMR_1057	2019	153	5.834	2016	22	26	10
PM_BMR_1058	2019	148	5.413	2016	21	25	9
PM_BMR_1059	2019	174	8.256	2016	21	25	9
PM_BMR_106	2017	66	0.203	2016	5	5	5
PM_BMR_1060	2019	148	4.917	2016	23	27	11
PM_BMR_1061	2019	163	7.55	2016	21	25	9
PM_BMR_1062	2019	122	2.603	2016	24	27	11
PM_BMR_1063	2019	155	5.955	2016	25	28	12
PM_BMR_1064	2019	147	4.995	2016	21	25	9
PM_BMR_1065	2019	145	4.995	2016	21	25	9
PM_BMR_1066	2019	142	4.309	2016	24	27	11
PM_BMR_1068	2019	153	5.205	2016	24	27	11
PM_BMR_1069	2019	142	4.703	2016	21	25	9
PM_BMR_107	2017	73	0.316	2016	7	11	6
PM_BMR_1070	2019	148	5.119	2016	21	25	9
PM_BMR_1071	2019	113	2.085	2016	24	27	11
PM_BMR_1072	2019	124	2.729	2016	25	29	12
PM_BMR_1073	2019	162	6.596	2016	25	28	12
PM_BMR_1074	2019	149	5.557	2016	21	25	9
PM_BMR_1075	2019	103	1.494	2016	24	27	11
PM_BMR_1076	2019	113	1.995	2016	26	27	11
PM_BMR_1077	2019	113	2.492	2016	21	25	9
PM_BMR_1078	2019	170	7.158	2016	22	26	10
PM_BMR_1079	2019	143	4.545	2016	21	25	9
PM_BMR_108	2017	70	0.35	2016	16	17	8
PM_BMR_1080	2019	144	4.516	2016	21	25	9
PM_BMR_1081	2019	137	4.176	2016	24	27	11
PM_BMR_1082	2019	159	5.715	2016	21	25	9
PM_BMR_1083	2019	127	3.586	2016	27	29	12
PM_BMR_1084	2019	126	3.163	2016	27	30	12
PM_BMR_1085	2019	116	1.718	2016	24	27	11
PM_BMR_1086	2019	122	2.925	2016	24	27	11
PM_BMR_1087	2019	149	4.92	2016	21	25	9
PM_BMR_1088	2019	132	2.89	2016	25	29	12
PM_BMR_1089	2019	147	4.831	2016	22	26	10
PM_BMR_109	2017	70	0.274	2016	10	12	5
PM_BMR_110	2017	60	0.168	2016	6	18	4
PM_BMR_111	2017	57	0.189	2016	10	13	5
PM_BMR_112	2017	50	0.115	2016	7	7	6
PM_BMR_113	2017	71	0.375	2016	14	4	4
PM_BMR_114	2017	67	0.219	2016	7	7	6
PM_BMR_115	2017	72	0.262	2016	11	14	5
PM_BMR_116	2017	62	0.216	2016	4	4	4
PM_BMR_117	2017	60	0.168	2016	11	14	5
PM_BMR_118	2017	57	0.17	2016	4	4	4
PM_BMR_119	2017	64	0.201	2016	10	23	5
PM_BMR_120	2017	71	0.285	2016	7	11	6
PM_BMR_121	2017	65	0.24	2016	6	18	4
PM_BMR_122	2017	60	0.167	2016	11	14	5
PM_BMR_123	2017	72	0.334	2016	16	17	8
PM_BMR_124	2017	50	0.106	2016	28	10	5
PM_BMR_125	2017	68	0.29	2016	7	11	6
PM_BMR_126	2017	60	0.158	2016	4	4	4
PM_BMR_127	2017	57	0.134	2016	16	17	8
PM_BMR_128	2017	69	0.205	2016	7	16	6
PM_BMR_129	2017	65	0.363	2016	16	17	8
PM_BMR_130	2017	64	0.329	2016	29	31	13
PM_BMR_131	2017	56	0.15	2016	30	32	4
PM_BMR_132	2017	65	0.368	2016	31	33	5
PM_BMR_133	2017	64	0.376	2016	17	19	5
PM_BMR_134	2017	59	0.259	2016	31	34	5
PM_BMR_135	2017	63	0.42	2016	32	32	4
PM_BMR_136	2017	58	0.247	2016	33	15	4
PM_BMR_137	2017	76	0.465	2015	17	35	5
PM_BMR_138	2017	72	0.37	2016	34	6	4
PM_BMR_139	2017	64	0.287	2016	17	36	5
PM_BMR_140	2017	72	0.496	2016	31	33	5
PM_BMR_141	2017	71	0.397	2016	12	15	4
PM_BMR_142	2017	74	0.532	2016	10	23	5
PM_BMR_143	2017	70	0.352	2016	35	37	4
PM_BMR_144	2017	66	0.38	2016	36	38	14
PM_BMR_145	2017	70	0.437	2016	37	39	4
PM_BMR_146	2017	60	0.289	2016	33	6	4
PM_BMR_147	2017	71	0.383	2016	37	40	4
PM_BMR_148	2017	59	0.286	2016	36	38	14
PM_BMR_149	2017	66	0.427	2016	31	33	5
PM_BMR_150	2017	67	0.485	2016	16	17	8
PM_BMR_151	2017	65	0.4	2016	17	35	5
PM_BMR_152	2017	68	0.348	2016	16	17	8
PM_BMR_153	2017	64	0.354	2016	35	37	4
PM_BMR_154	2017	62	0.327	2016	35	41	4
PM_BMR_155	2017	70	0.451	2016	4	4	4
PM_BMR_156	2017	63	0.321	2016	17	33	5
PM_BMR_157	2017	63	0.268	2016	33	6	4
PM_BMR_158	2017	68	0.411	2016	16	17	8
PM_BMR_159	2017	66	0.337	2016	36	42	14
PM_BMR_160	2017	69	0.423	2016	35	37	4
PM_BMR_161	2017	65	0.387	2016	31	34	5
PM_BMR_162	2017	82	0.651	2015	37	37	4
PM_BMR_163	2017	65	0.298	2016	34	6	4
PM_BMR_164	2017	66	0.458	2016	32	32	4
PM_BMR_165	2017	73	0.442	2016	17	35	5
PM_BMR_166	2017	56	0.215	2016	30	32	4
PM_BMR_167	2017	70	0.382	2016	38	43	4
PM_BMR_168	2017	60	0.307	2016	30	44	4
PM_BMR_169	2017	69	0.469	2016	31	33	5
PM_BMR_170	2017	68	0.325	2016	11	14	5
PM_BMR_171	2017	62	0.239	2016	38	45	4
PM_BMR_172	2017	62	0.299	2016	39	46	4
PM_BMR_173	2017	71	0.45	2016	12	15	4
PM_BMR_174	2017	69	0.297	2016	33	15	4
PM_BMR_175	2017	64	0.385	2016	31	33	5
PM_BMR_176	2017	70	0.406	2016	37	37	4
PM_BMR_177	2017	69	0.49	2016	30	32	4
PM_BMR_178	2017	75	0.286	2016	38	45	4
PM_BMR_179	2017	68	0.452	2016	4	4	4
PM_BMR_180	2017	65	0.237	2016	40	47	15
PM_BMR_181	2017	54	0.135	2016	41	48	15
PM_BMR_182	2017	57	0.237	2016	12	15	4
PM_BMR_183	2017	71	0.416	2016	33	15	4
PM_BMR_184	2017	65	0.265	2016	6	18	4
PM_BMR_185	2017	69	0.336	2016	14	15	4
PM_BMR_186	2017	83	0.722	2015	16	17	8
PM_BMR_187	2017	72	0.452	2016	17	36	5
PM_BMR_188	2017	65	0.309	2016	4	4	4
PM_BMR_189	2017	72	0.441	2016	12	15	4
PM_BMR_190	2017	58	0.242	2016	29	31	13
PM_BMR_191	2017	68	0.421	2016	35	37	4
PM_BMR_192	2017	64	0.325	2016	39	46	4
PM_BMR_193	2017	64	0.257	2016	17	36	5
PM_BMR_195	2017	67	0.324	2016	17	36	5
PM_BMR_196	2017	71	0.469	2016	39	46	4
PM_BMR_197	2017	73	0.471	2016	17	19	5
PM_BMR_198	2017	63	0.199	2016	38	39	4
PM_BMR_199	2017	66	0.366	2016	16	17	8
PM_BMR_200	2017	62	0.242	2016	32	32	4
PM_BMR_201	2017	61	0.29	2016	37	39	4
PM_BMR_202	2017	61	0.196	2016	19	15	4
PM_BMR_203	2017	66	0.339	2016	30	32	4
PM_BMR_204	2017	58	0.274	2016	37	39	4
PM_BMR_205	2017	54	0.183	2016	42	34	5
PM_BMR_206	2017	56	0.379	2016	4	4	4
PM_BMR_207	2017	59	0.273	2016	38	39	4
PM_BMR_208	2017	71	0.391	2016	29	49	13
PM_BMR_209	2017	66	0.288	2016	17	19	5
PM_BMR_210	2017	67	0.335	2016	39	37	4
PM_BMR_211	2017	72	0.374	2016	43	47	15
PM_BMR_212	2017	62	0.316	2016	33	6	4
PM_BMR_213	2017	66	0.351	2016	6	18	4
PM_BMR_214	2017	67	0.368	2016	37	37	4
PM_BMR_215	2017	61	0.276	2016	37	39	4
PM_BMR_216	2017	62	0.345	2016	17	36	5
PM_BMR_217	2017	62	0.322	2016	39	46	4
PM_BMR_218	2017	31	0.032	2017	44	50	16
PM_BMR_219	2017	57	0.166	2016	12	15	4
PM_BMR_220	2017	49	0.115	2016	38	39	4
PM_BMR_221	2017	32	0.034	2017	44	51	16
PM_BMR_222	2017	54	0.184	2016	10	12	5
PM_BMR_223	2017	51	0.121	2016	7	11	6
PM_BMR_224	2017	46	0.109	2016	31	34	5
PM_BMR_225	2017	55	0.331	2016	31	34	5
PM_BMR_226	2017	27	0.013	2017	44	50	16
PM_BMR_227	2017	83	0.866	2015	16	17	8
PM_BMR_228	2017	81	0.851	2015	38	43	4
PM_BMR_229	2017	71	0.573	2016	17	35	5
PM_BMR_230	2017	72	0.512	2016	34	44	4
PM_BMR_231	2017	89	1.021	2015	12	15	4
PM_BMR_232	2017	83	0.803	2015	32	32	4
PM_BMR_233	2017	85	0.856	2015	33	15	4
PM_BMR_234	2017	86	0.843	2015	30	44	4
PM_BMR_235	2017	81	0.764	2015	4	4	4
PM_BMR_236	2017	79	0.536	2015	37	37	4
PM_BMR_237	2017	84	0.839	2015	12	15	4
PM_BMR_238	2017	78	0.521	2015	33	15	4
PM_BMR_239	2017	79	0.613	2015	39	46	4
PM_BMR_240	2017	85	0.843	2015	36	38	14
PM_BMR_241	2017	82	0.797	2015	36	38	14
PM_BMR_242	2017	81	0.787	2015	31	34	5
PM_BMR_243	2017	81	0.721	2015	16	17	8
PM_BMR_244	2017	75	0.499	2016	7	11	6
PM_BMR_245	2017	79	0.521	2015	10	12	5
PM_BMR_246	2017	85	0.901	2015	31	34	5
PM_BMR_247	2017	84	0.71	2015	31	34	5
PM_BMR_248	2017	80	0.567	2015	35	37	4
PM_BMR_249	2017	83	0.838	2015	31	33	5
PM_BMR_250	2017	89	0.998	2015	11	14	5
PM_BMR_251	2017	91	1.012	2015	32	32	4
PM_BMR_252	2017	88	0.652	2015	38	45	4
PM_BMR_253	2017	71	0.378	2016	35	37	4
PM_BMR_254	2017	76	0.399	2015	33	15	4
PM_BMR_255	2017	82	0.426	2015	16	17	8
PM_BMR_256	2017	79	0.527	2015	17	35	5
PM_BMR_257	2017	83	0.852	2015	35	37	4
PM_BMR_258	2017	89	0.873	2015	5	5	5
PM_BMR_259	2017	81	0.66	2015	42	34	5
PM_BMR_260	2017	83	0.891	2015	42	34	5
PM_BMR_261	2017	80	0.366	2015	37	39	4
PM_BMR_262	2017	72	0.329	2016	36	42	14
PM_BMR_263	2017	84	0.621	2015	16	17	8
PM_BMR_264	2017	76	0.391	2015	17	36	5
PM_BMR_265	2017	77	0.384	2015	45	16	6
PM_BMR_266	2017	89	0.683	2015	12	15	4
PM_BMR_267	2017	73	0.588	2016	31	34	5
PM_BMR_268	2017	73	0.63	2016	33	6	4
PM_BMR_269	2017	79	0.601	2015	35	41	4
PM_BMR_270	2017	82	0.609	2015	29	31	13
PM_BMR_271	2017	74	0.474	2016	36	42	14
PM_BMR_272	2017	101	1.433	2015	16	17	8
PM_BMR_273	2017	72	0.427	2016	17	33	5
PM_BMR_274	2017	76	0.659	2015	31	33	5
PM_BMR_275	2017	89	0.897	2015	17	36	5
PM_BMR_276	2017	88	0.971	2015	31	34	5
PM_BMR_277	2017	80	0.667	2015	7	7	6
PM_BMR_278	2017	73	0.539	2016	15	5	5
PM_BMR_279	2017	71	0.433	2016	29	31	13
PM_BMR_280	2017	72	0.478	2016	17	19	5
PM_BMR_281	2017	103	1.481	2015	4	4	4
PM_BMR_282	2017	88	0.887	2015	30	32	4
PM_BMR_283	2017	79	0.633	2015	38	43	4
PM_BMR_284	2017	82	0.773	2015	4	4	4
PM_BMR_285	2017	88	0.952	2015	41	47	15
PM_BMR_286	2017	81	0.595	2015	35	37	4
PM_BMR_287	2017	76	0.468	2015	12	15	4
PM_BMR_288	2017	78	0.574	2015	17	35	5
PM_BMR_289	2017	91	1.084	2015	16	17	8
PM_BMR_290	2017	74	0.433	2016	11	14	5
PM_BMR_291	2017	73	0.472	2016	35	37	4
PM_BMR_292	2017	79	0.634	2015	12	15	4
PM_BMR_293	2017	84	0.811	2015	41	47	15
PM_BMR_294	2017	82	0.798	2015	16	17	8
PM_BMR_295	2017	86	0.769	2015	41	47	15
PM_BMR_296	2017	81	0.744	2015	30	32	4
PM_BMR_297	2017	71	0.487	2016	38	39	4
PM_BMR_298	2017	86	0.998	2015	31	33	5
PM_BMR_299	2017	79	0.643	2015	30	32	4
PM_BMR_300	2017	82	0.596	2015	43	47	15
PM_BMR_301	2017	78	0.607	2015	17	19	5
PM_BMR_302	2017	77	0.551	2015	17	36	5
PM_BMR_303	2017	82	0.733	2015	38	43	4
PM_BMR_304	2017	84	0.722	2015	41	47	15
PM_BMR_305	2017	82	0.686	2015	38	43	4
PM_BMR_306	2017	88	0.792	2015	34	6	4
PM_BMR_307	2017	81	0.657	2015	42	34	5
PM_BMR_308	2017	76	0.561	2015	16	17	8
PM_BMR_309	2017	79	0.488	2015	12	15	4
PM_BMR_310	2017	73	0.444	2016	6	18	4
PM_BMR_311	2017	73	0.481	2016	17	52	5
PM_BMR_312	2017	76	0.576	2015	31	33	5
PM_BMR_313	2017	72	0.471	2016	11	14	5
PM_BMR_314	2017	81	0.716	2015	16	17	8
PM_BMR_315	2017	77	0.539	2015	41	47	15
PM_BMR_316	2017	73	0.465	2016	10	23	5
PM_BMR_317	2017	73	0.522	2016	46	53	17
PM_BMR_318	2017	73	0.454	2016	35	37	4
PM_BMR_319	2017	77	0.636	2015	16	17	8
PM_BMR_320	2017	82	0.804	2015	35	37	4
PM_BMR_321	2017	73	0.547	2016	11	14	5
PM_BMR_322	2017	84	0.904	2015	13	14	5
PM_BMR_323	2017	74	0.516	2016	18	19	5
PM_BMR_324	2017	81	0.725	2015	28	5	5
PM_BMR_325	2017	82	0.654	2015	7	11	6
PM_BMR_326	2017	79	0.556	2015	7	11	6
PM_BMR_327	2017	82	0.65	2015	10	13	5
PM_BMR_328	2017	85	0.74	2015	6	18	4
PM_BMR_329	2017	77	0.631	2015	7	16	6
PM_BMR_330	2017	82	0.695	2015	6	18	4
PM_BMR_331	2017	74	0.535	2016	18	54	5
PM_BMR_332	2017	72	0.511	2016	10	23	5
PM_BMR_333	2017	93	1.318	2015	7	11	6
PM_BMR_334	2017	89	0.899	2015	18	20	5
PM_BMR_335	2017	90	0.946	2015	7	11	6
PM_BMR_336	2017	79	0.744	2015	10	12	5
PM_BMR_337	2017	77	0.707	2015	7	11	6
PM_BMR_338	2017	77	0.556	2015	7	11	6
PM_BMR_339	2017	80	0.69	2015	7	24	6
PM_BMR_340	2017	87	0.79	2015	7	11	6
PM_BMR_341	2017	73	0.547	2016	7	16	6
PM_BMR_342	2017	89	0.826	2015	10	12	5
PM_BMR_343	2017	74	0.502	2016	7	11	6
PM_BMR_344	2017	86	0.772	2015	10	13	5
PM_BMR_345	2017	82	0.664	2015	6	18	4
PM_BMR_346	2017	76	0.487	2015	10	13	5
PM_BMR_347	2017	73	0.404	2016	10	12	5
PM_BMR_348	2017	72	0.406	2016	4	4	4
PM_BMR_349	2017	76	0.557	2015	10	5	5
PM_BMR_350	2017	82	0.866	2015	6	18	4
PM_BMR_351	2017	83	0.836	2015	10	12	5
PM_BMR_352	2017	71	0.636	2016	6	18	4
PM_BMR_353	2017	82	0.768	2015	10	13	5
PM_BMR_354	2017	83	0.813	2015	11	14	5
PM_BMR_355	2017	82	0.642	2015	10	23	5
PM_BMR_356	2017	78	0.619	2015	6	18	4
PM_BMR_357	2017	79	0.695	2015	19	15	4
PM_BMR_358	2017	83	0.909	2015	5	12	5
PM_BMR_359	2017	72	0.53	2016	20	23	5
PM_BMR_360	2017	71	0.518	2016	7	11	6
PM_BMR_361	2017	84	0.903	2015	4	4	4
PM_BMR_362	2017	78	0.534	2015	4	4	4
PM_BMR_363	2017	82	0.682	2015	11	14	5
PM_BMR_364	2017	84	0.863	2015	11	14	5
PM_BMR_365	2017	84	0.845	2015	20	23	5
PM_BMR_366	2017	103	1.506	2015	17	22	5
PM_BMR_367	2017	106	1.524	2015	6	18	4
PM_BMR_368	2017	95	1.153	2015	7	11	6
PM_BMR_369	2017	96	1.196	2015	11	14	5
PM_BMR_370	2017	105	1.539	2015	6	6	4
PM_BMR_371	2017	101	1.164	2015	7	11	6
PM_BMR_372	2017	96	1.053	2015	4	4	4
PM_BMR_373	2017	102	1.427	2015	7	11	6
PM_BMR_374	2017	101	1.282	2015	16	17	8
PM_BMR_375	2017	98	1.128	2015	7	11	6
PM_BMR_376	2017	111	1.812	2015	28	10	5
PM_BMR_377	2017	101	1.153	2015	18	54	5
PM_BMR_378	2017	95	1.222	2015	11	14	5
PM_BMR_379	2017	86	1.151	2015	15	5	5
PM_BMR_380	2017	97	1.209	2015	7	24	6
PM_BMR_381	2017	124	2.752	2015	7	7	6
PM_BMR_382	2017	95	1.191	2015	7	16	6
PM_BMR_383	2017	98	1.227	2015	10	23	5
PM_BMR_384	2017	97	1.048	2015	18	54	5
PM_BMR_385	2017	115	1.86	2015	10	12	5
PM_BMR_386	2017	90	1.023	2015	18	54	5
PM_BMR_387	2017	92	1.145	2015	10	12	5
PM_BMR_388	2018	40	0.061	2017	16	17	8
PM_BMR_389	2018	44	0.087	2017	20	23	5
PM_BMR_390	2018	52	0.16	2017	28	5	5
PM_BMR_391	2018	48	0.088	2017	11	14	5
PM_BMR_392	2018	43	0.057	2017	11	14	5
PM_BMR_393	2018	44	0.071	2017	6	18	4
PM_BMR_394	2018	51	0.129	2017	13	14	5
PM_BMR_395	2018	42	0.047	2017	15	5	5
PM_BMR_396	2018	45	0.057	2017	11	14	5
PM_BMR_397	2018	44	0.039	2017	10	12	5
PM_BMR_398	2018	40	0.029	2017	10	13	5
PM_BMR_399	2018	34	0.028	2017	19	15	4
PM_BMR_400	2018	41	0.036	2017	6	18	4
PM_BMR_401	2018	32	0.02	2017	11	14	5
PM_BMR_402	2018	34	0.032	2017	20	20	5
PM_BMR_403	2018	42	0.048	2017	12	15	4
PM_BMR_405	2018	82	0.829	2016	11	14	5
PM_BMR_406	2018	96	1.266	2015	7	11	6
PM_BMR_407	2018	93	1.205	2015	6	18	4
PM_BMR_408	2018	92	1.116	2015	20	23	5
PM_BMR_409	2018	89	0.866	2015	15	5	5
PM_BMR_410	2018	82	0.741	2016	15	5	5
PM_BMR_411	2018	83	0.699	2016	7	16	6
PM_BMR_412	2018	78	0.706	2016	18	20	5
PM_BMR_413	2018	91	0.992	2015	7	11	6
PM_BMR_414	2018	92	0.871	2015	20	23	5
PM_BMR_415	2018	92	1.029	2015	7	11	6
PM_BMR_416	2018	91	1.018	2015	5	10	5
PM_BMR_417	2018	84	0.842	2016	13	14	5
PM_BMR_418	2018	94	1.099	2015	7	11	6
PM_BMR_419	2018	87	0.831	2016	7	11	6
PM_BMR_420	2018	99	1.23	2015	11	14	5
PM_BMR_421	2018	84	1.136	2016	6	18	4
PM_BMR_422	2018	87	0.809	2016	16	17	8
PM_BMR_423	2018	86	0.871	2016	11	14	5
PM_BMR_424	2018	93	1.013	2015	16	17	8
PM_BMR_425	2018	91	0.964	2015	16	17	8
PM_BMR_426	2018	89	0.851	2015	7	7	6
PM_BMR_427	2018	86	0.906	2016	4	4	4
PM_BMR_428	2018	92	1.132	2015	18	20	5
PM_BMR_429	2018	90	0.976	2015	13	14	5
PM_BMR_430	2018	86	0.783	2016	7	11	6
PM_BMR_431	2018	94	1.086	2015	7	7	6
PM_BMR_432	2018	89	0.906	2015	11	14	5
