OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_953	48	64	12
PM_BMR_954	19	11	1
PM_BMR_955	12	13	1
PM_BMR_957	12	15	1
PM_BMR_958	15	1	1
PM_BMR_959	7	10	1
PM_BMR_960	13	1	1
PM_BMR_961	14	16	1
PM_BMR_962	18	18	5
PM_BMR_963	37	39	1
PM_BMR_964	16	12	4
PM_BMR_965	4	12	4
PM_BMR_966	13	1	1
PM_BMR_967	19	11	1
PM_BMR_968	13	1	1
PM_BMR_969	19	11	1
PM_BMR_970	13	1	1
PM_BMR_972	21	20	1
PM_BMR_973	12	23	1
PM_BMR_974	21	20	1
PM_BMR_975	19	11	1
PM_BMR_976	14	21	1
PM_BMR_977	12	23	1
PM_BMR_978	12	15	1
PM_BMR_979	15	1	1
PM_BMR_980	12	13	1
PM_BMR_981	5	20	1
PM_BMR_982	4	12	4
PM_BMR_983	14	16	1
PM_BMR_984	12	13	1
PM_BMR_985	15	1	1
PM_BMR_986	12	15	1
PM_BMR_987	12	15	1
PM_BMR_988	13	1	1
PM_BMR_989	23	13	1
PM_BMR_990	6	9	1
PM_BMR_991	12	15	1
PM_BMR_992	21	19	1
PM_BMR_993	6	9	1
PM_BMR_994	16	12	4
PM_BMR_995	48	64	12
PM_BMR_996	14	16	1
PM_BMR_997	9	12	4
PM_BMR_998	12	13	1
PM_BMR_999	6	9	1
